Sujet,Exp,Uncertainty,nbhits,nbmiss,nbfa,nbrc,hitsrate,fasrate,dprime
1,I,29,10,30,2,4,0.26,0.36,-0.29
2,I,29,31,0,4,0,0.98,0.9,0.87
3,I,29,37,3,6,0,0.91,0.93,-0.1
4,I,29,24,16,3,3,0.6,0.5,0.25
5,I,29,28,12,4,2,0.7,0.64,0.14
6,I,29,29,1,4,0,0.95,0.9,0.38
7,I,29,42,3,6,0,0.92,0.93,-0.03
8,I,29,36,8,4,3,0.81,0.56,0.72
9,I,29,30,12,4,2,0.71,0.64,0.19
10,I,29,23,21,1,5,0.52,0.21,0.85
11,I,29,33,7,3,3,0.82,0.5,0.9
12,I,29,33,12,3,3,0.73,0.5,0.61
13,I,29,27,14,4,3,0.65,0.56,0.24
14,I,29,5,15,1,3,0.26,0.3,-0.11
1,I,115,6,34,0,8,0.16,0.06,0.59
2,I,115,28,4,7,0,0.86,0.94,-0.44
3,I,115,18,22,3,5,0.45,0.39,0.16
4,I,115,8,32,2,6,0.21,0.28,-0.23
5,I,115,8,32,1,7,0.21,0.17,0.15
6,I,115,34,2,7,1,0.93,0.83,0.53
7,I,115,35,10,6,2,0.77,0.72,0.16
8,I,115,34,9,6,2,0.78,0.72,0.2
9,I,115,24,17,2,5,0.58,0.31,0.7
10,I,115,17,28,0,8,0.38,0.06,1.29
11,I,115,27,13,4,4,0.67,0.5,0.44
12,I,115,28,17,0,8,0.62,0.06,1.9
13,I,115,23,20,1,7,0.53,0.17,1.05
14,I,115,16,26,1,7,0.38,0.17,0.67
1,I,463,2,38,0,6,0.06,0.07,-0.08
2,I,463,31,4,5,1,0.88,0.79,0.36
3,I,463,8,32,2,4,0.21,0.36,-0.45
4,I,463,3,37,1,5,0.09,0.21,-0.58
5,I,463,8,32,0,6,0.21,0.07,0.65
6,I,463,27,12,4,2,0.69,0.64,0.12
7,I,463,23,22,1,5,0.51,0.21,0.82
8,I,463,23,22,1,6,0.51,0.19,0.91
9,I,463,24,22,4,2,0.52,0.64,-0.31
10,I,463,10,35,0,7,0.23,0.06,0.79
11,I,463,13,27,1,5,0.33,0.21,0.35
12,I,463,12,33,1,6,0.27,0.19,0.28
13,I,463,12,33,1,5,0.27,0.21,0.18
14,I,463,8,37,0,6,0.18,0.07,0.57
