Sujet,Bloc,Stim,Hits,FA,Miss,RC,RT,Similarity,m_ppo,m_td,m_iti,t_pi,T.Rate,t_td,m_density,Uncertainty
1,1,mask_ppo_16_td_002,0,1,0,0,1740.0,,16.0,0.02,1500.0,,,,4.0,115.0
1,1,mask_ppo_16_td_002_target_fq_1430_td_002_r_5,0,0,1,0,0.0,0.0,16.0,0.02,1500.0,1430.0,5.0,0.02,4.0,115.0
1,1,mask_ppo_16_td_002_target_fq_2924_td_002_r_20,1,0,0,0,3572.0,0.0,16.0,0.02,1500.0,2924.0,20.0,0.02,4.0,115.0
1,1,mask_ppo_16_td_002_target_fq_489_td_002_r_20,1,0,0,0,1750.0,0.0,16.0,0.02,1500.0,489.0,20.0,0.02,4.0,115.0
1,1,mask_ppo_16_td_002_target_fq_489_td_002_r_5,1,0,0,0,4204.0,0.0,16.0,0.02,1500.0,489.0,5.0,0.02,4.0,115.0
1,1,mask_ppo_16_td_004,0,1,0,0,6050.0,,16.0,0.04,1500.0,,,,5.0,115.0
1,1,mask_ppo_16_td_006,0,1,0,0,1341.0,,16.0,0.06,1500.0,,,,5.0,115.0
1,1,mask_ppo_16_td_006_target_fq_1000_td_002_r_20,1,0,0,0,2180.0,40.0,16.0,0.06,1500.0,1000.0,20.0,0.02,5.0,115.0
1,1,mask_ppo_16_td_006_target_fq_2045_td_002_r_10,0,0,1,0,0.0,40.0,16.0,0.06,1500.0,2045.0,10.0,0.02,5.0,115.0
1,1,mask_ppo_16_td_006_target_fq_2924_td_002_r_5,0,0,1,0,0.0,40.0,16.0,0.06,1500.0,2924.0,5.0,0.02,5.0,115.0
1,1,mask_ppo_16_td_01,0,1,0,0,1337.0,,16.0,0.1,1500.0,,,,5.0,115.0
1,1,mask_ppo_16_td_01_target_fq_2045_td_002_r_20,1,0,0,0,1895.0,80.0,16.0,0.1,1500.0,2045.0,20.0,0.02,5.0,115.0
1,1,mask_ppo_16_td_01_target_fq_699_td_002_r_10,1,0,0,0,1817.0,80.0,16.0,0.1,1500.0,699.0,10.0,0.02,5.0,115.0
1,1,mask_ppo_4_td_002,0,1,0,0,2127.0,,4.0,0.02,1500.0,,,,1.0,29.0
1,1,mask_ppo_4_td_002_target_fq_1430_td_002_r_10,1,0,0,0,3995.0,0.0,4.0,0.02,1500.0,1430.0,10.0,0.02,1.0,29.0
1,1,mask_ppo_4_td_002_target_fq_2045_td_002_r_10,1,0,0,0,1541.0,0.0,4.0,0.02,1500.0,2045.0,10.0,0.02,1.0,29.0
1,1,mask_ppo_4_td_002_target_fq_489_td_002_r_20,1,0,0,0,2877.0,0.0,4.0,0.02,1500.0,489.0,20.0,0.02,1.0,29.0
1,1,mask_ppo_4_td_004,0,1,0,0,1829.0,,4.0,0.04,1500.0,,,,1.0,29.0
1,1,mask_ppo_4_td_006,0,1,0,0,1623.0,,4.0,0.06,1500.0,,,,1.0,29.0
1,1,mask_ppo_4_td_006_target_fq_1000_td_002_r_20,1,0,0,0,1764.0,40.0,4.0,0.06,1500.0,1000.0,20.0,0.02,1.0,29.0
1,1,mask_ppo_4_td_006_target_fq_2045_td_002_r_20,1,0,0,0,1746.0,40.0,4.0,0.06,1500.0,2045.0,20.0,0.02,1.0,29.0
1,1,mask_ppo_4_td_006_target_fq_489_td_002_r_5,1,0,0,0,2509.0,40.0,4.0,0.06,1500.0,489.0,5.0,0.02,1.0,29.0
1,1,mask_ppo_4_td_008,0,1,0,0,1775.0,,4.0,0.08,1500.0,,,,1.0,29.0
1,1,mask_ppo_4_td_01,0,1,0,0,1525.0,,4.0,0.1,1500.0,,,,1.0,29.0
1,1,mask_ppo_4_td_01_target_fq_1000_td_002_r_20,1,0,0,0,1406.0,80.0,4.0,0.1,1500.0,1000.0,20.0,0.02,1.0,29.0
1,1,mask_ppo_4_td_01_target_fq_2045_td_002_r_10,1,0,0,0,1266.0,80.0,4.0,0.1,1500.0,2045.0,10.0,0.02,1.0,29.0
1,1,mask_ppo_4_td_01_target_fq_699_td_002_r_5,1,0,0,0,1624.0,80.0,4.0,0.1,1500.0,699.0,5.0,0.02,1.0,29.0
1,1,mask_ppo_64_td_002,0,1,0,0,2044.0,,64.0,0.02,1500.0,,,,18.0,463.0
1,1,mask_ppo_64_td_002_target_fq_2045_td_002_r_10,1,0,0,0,5212.0,0.0,64.0,0.02,1500.0,2045.0,10.0,0.02,18.0,463.0
1,1,mask_ppo_64_td_002_target_fq_2045_td_002_r_20,1,0,0,0,1340.0,0.0,64.0,0.02,1500.0,2045.0,20.0,0.02,18.0,463.0
1,1,mask_ppo_64_td_002_target_fq_489_td_002_r_10,1,0,0,0,2077.0,0.0,64.0,0.02,1500.0,489.0,10.0,0.02,18.0,463.0
1,1,mask_ppo_64_td_004,0,0,0,1,0.0,,64.0,0.04,1500.0,,,,18.0,463.0
1,1,mask_ppo_64_td_006,0,0,0,1,0.0,,64.0,0.06,1500.0,,,,19.0,463.0
1,1,mask_ppo_64_td_006_target_fq_1430_td_002_r_5,1,0,0,0,2448.0,40.0,64.0,0.06,1500.0,1430.0,5.0,0.02,19.0,463.0
1,1,mask_ppo_64_td_006_target_fq_2924_td_002_r_10,0,0,1,0,0.0,40.0,64.0,0.06,1500.0,2924.0,10.0,0.02,19.0,463.0
1,1,mask_ppo_64_td_006_target_fq_489_td_002_r_20,1,0,0,0,5423.0,40.0,64.0,0.06,1500.0,489.0,20.0,0.02,19.0,463.0
1,1,mask_ppo_64_td_01,0,0,0,1,0.0,,64.0,0.1,1500.0,,,,19.0,463.0
1,1,mask_ppo_64_td_01_target_fq_2045_td_002_r_5,0,0,1,0,0.0,80.0,64.0,0.1,1500.0,2045.0,5.0,0.02,19.0,463.0
1,1,mask_ppo_64_td_01_target_fq_699_td_002_r_20,1,0,0,0,1674.0,80.0,64.0,0.1,1500.0,699.0,20.0,0.02,19.0,463.0
1,1,mask_ppo_64_td_01_target_fq_699_td_002_r_5,0,0,1,0,0.0,80.0,64.0,0.1,1500.0,699.0,5.0,0.02,19.0,463.0
1,2,mask_ppo_16_td_002,0,1,0,0,2875.0,,16.0,0.02,1500.0,,,,4.0,115.0
1,2,mask_ppo_16_td_002_target_fq_1000_td_002_r_20,1,0,0,0,2440.0,0.0,16.0,0.02,1500.0,1000.0,20.0,0.02,4.0,115.0
1,2,mask_ppo_16_td_002_target_fq_2045_td_002_r_10,1,0,0,0,1167.0,0.0,16.0,0.02,1500.0,2045.0,10.0,0.02,4.0,115.0
1,2,mask_ppo_16_td_002_target_fq_489_td_002_r_10,1,0,0,0,1563.0,0.0,16.0,0.02,1500.0,489.0,10.0,0.02,4.0,115.0
1,2,mask_ppo_16_td_002_target_fq_699_td_002_r_10,1,0,0,0,1984.0,0.0,16.0,0.02,1500.0,699.0,10.0,0.02,4.0,115.0
1,2,mask_ppo_16_td_004,0,1,0,0,1729.0,,16.0,0.04,1500.0,,,,5.0,115.0
1,2,mask_ppo_16_td_006,0,1,0,0,2106.0,,16.0,0.06,1500.0,,,,5.0,115.0
1,2,mask_ppo_16_td_006_target_fq_1000_td_002_r_10,1,0,0,0,3507.0,40.0,16.0,0.06,1500.0,1000.0,10.0,0.02,5.0,115.0
1,2,mask_ppo_16_td_006_target_fq_2045_td_002_r_20,1,0,0,0,1994.0,40.0,16.0,0.06,1500.0,2045.0,20.0,0.02,5.0,115.0
1,2,mask_ppo_16_td_006_target_fq_489_td_002_r_10,1,0,0,0,1445.0,40.0,16.0,0.06,1500.0,489.0,10.0,0.02,5.0,115.0
1,2,mask_ppo_16_td_01,0,1,0,0,6199.0,,16.0,0.1,1500.0,,,,5.0,115.0
1,2,mask_ppo_16_td_01_target_fq_1000_td_002_r_5,1,0,0,0,1216.0,80.0,16.0,0.1,1500.0,1000.0,5.0,0.02,5.0,115.0
1,2,mask_ppo_16_td_01_target_fq_1430_td_002_r_20,1,0,0,0,873.0,80.0,16.0,0.1,1500.0,1430.0,20.0,0.02,5.0,115.0
1,2,mask_ppo_16_td_01_target_fq_489_td_002_r_5,0,0,1,0,0.0,80.0,16.0,0.1,1500.0,489.0,5.0,0.02,5.0,115.0
