Sujet,Bloc,Stim,Hits,FA,Miss,RC,RT,Diss,m_ppo,m_td,m_iti,t_pi,T.Rate,t_td,m_density,Uncertainty
1,1,mask_ppo_16_iti_03_td_002,0,1,0,0,6701.0,,16.0,0.02,300.0,,,,6.0,84.0
1,1,mask_ppo_16_iti_11_td_002,0,0,0,1,0.0,,16.0,0.02,1100.0,,,,5.0,110.0
1,1,mask_ppo_16_iti_11_td_006,0,0,0,1,0.0,,16.0,0.06,1100.0,,,,5.0,110.0
1,1,mask_ppo_16_iti_11_td_01,0,0,0,1,0.0,,16.0,0.1,1100.0,,,,5.0,110.0
1,1,mask_ppo_16_iti_23_td_002,0,0,0,1,0.0,,16.0,0.02,2300.0,,,,4.0,123.0
1,1,mask_ppo_16_td_002_iti_03_target_fq_1000_td_006_r_5,1,0,0,0,2003.0,40.0,16.0,0.02,300.0,1000.0,5.0,0.06,6.0,84.0
1,1,mask_ppo_16_td_002_iti_03_target_fq_2045_td_006_r_1,1,0,0,0,3861.0,40.0,16.0,0.02,300.0,2045.0,1.0,0.06,6.0,84.0
1,1,mask_ppo_16_td_002_iti_03_target_fq_2924_td_006_r_1,1,0,0,0,4809.0,40.0,16.0,0.02,300.0,2924.0,1.0,0.06,6.0,84.0
1,1,mask_ppo_16_td_002_iti_03_target_fq_2924_td_006_r_5,1,0,0,0,3747.0,40.0,16.0,0.02,300.0,2924.0,5.0,0.06,6.0,84.0
1,1,mask_ppo_16_td_002_iti_11_target_fq_1000_td_006_r_2,1,0,0,0,3098.0,40.0,16.0,0.02,1100.0,1000.0,2.0,0.06,5.0,110.0
1,1,mask_ppo_16_td_002_iti_11_target_fq_1000_td_006_r_5,1,0,0,0,2560.0,40.0,16.0,0.02,1100.0,1000.0,5.0,0.06,5.0,110.0
1,1,mask_ppo_16_td_002_iti_11_target_fq_1430_td_006_r_1,1,0,0,0,1829.0,40.0,16.0,0.02,1100.0,1430.0,1.0,0.06,5.0,110.0
1,1,mask_ppo_16_td_002_iti_11_target_fq_1430_td_006_r_5,1,0,0,0,2575.0,40.0,16.0,0.02,1100.0,1430.0,5.0,0.06,5.0,110.0
1,1,mask_ppo_16_td_002_iti_11_target_fq_2045_td_006_r_5,1,0,0,0,1611.0,40.0,16.0,0.02,1100.0,2045.0,5.0,0.06,5.0,110.0
1,1,mask_ppo_16_td_002_iti_11_target_fq_2924_td_006_r_2,1,0,0,0,2433.0,40.0,16.0,0.02,1100.0,2924.0,2.0,0.06,5.0,110.0
1,1,mask_ppo_16_td_002_iti_11_target_fq_2924_td_006_r_5,1,0,0,0,2197.0,40.0,16.0,0.02,1100.0,2924.0,5.0,0.06,5.0,110.0
1,1,mask_ppo_16_td_002_iti_23_target_fq_699_td_006_r_2,1,0,0,0,2310.0,40.0,16.0,0.02,2300.0,699.0,2.0,0.06,4.0,123.0
1,1,mask_ppo_32_iti_03_td_002,0,0,0,1,0.0,,32.0,0.02,300.0,,,,11.0,169.0
1,1,mask_ppo_32_iti_11_td_002,0,0,0,1,0.0,,32.0,0.02,1100.0,,,,9.0,221.0
1,1,mask_ppo_32_iti_23_td_002,0,0,0,1,0.0,,32.0,0.02,2300.0,,,,8.0,246.0
1,1,mask_ppo_32_td_002_iti_03_target_fq_489_td_006_r_2,1,0,0,0,6372.0,40.0,32.0,0.02,300.0,489.0,2.0,0.06,11.0,169.0
1,1,mask_ppo_32_td_002_iti_03_target_fq_699_td_006_r_2,1,0,0,0,11121.0,40.0,32.0,0.02,300.0,699.0,2.0,0.06,11.0,169.0
1,1,mask_ppo_32_td_002_iti_11_target_fq_1430_td_006_r_5,1,0,0,0,2165.0,40.0,32.0,0.02,1100.0,1430.0,5.0,0.06,9.0,221.0
1,1,mask_ppo_32_td_002_iti_11_target_fq_489_td_006_r_1,1,0,0,0,3886.0,40.0,32.0,0.02,1100.0,489.0,1.0,0.06,9.0,221.0
1,1,mask_ppo_32_td_002_iti_23_target_fq_1000_td_006_r_1,0,0,1,0,0.0,40.0,32.0,0.02,2300.0,1000.0,1.0,0.06,8.0,246.0
1,1,mask_ppo_32_td_002_iti_23_target_fq_1000_td_006_r_5,1,0,0,0,2688.0,40.0,32.0,0.02,2300.0,1000.0,5.0,0.06,8.0,246.0
1,1,mask_ppo_32_td_002_iti_23_target_fq_2924_td_006_r_1,1,0,0,0,2789.0,40.0,32.0,0.02,2300.0,2924.0,1.0,0.06,8.0,246.0
