Sujet,Exp,Uncertainty,nbhits,nbmiss,nbfa,nbrc,hitsrate,fasrate,dprime
1,III,84,14,0,2,3,0.97,0.42,2.04
2,III,84,14,3,0,5,0.81,0.08,2.24
3,III,84,14,0,1,4,0.97,0.25,2.51
4,III,84,16,0,0,5,0.97,0.08,3.27
5,III,84,14,0,1,3,0.97,0.3,2.36
6,III,84,13,1,0,5,0.9,0.08,2.66
7,III,84,18,0,0,5,0.97,0.08,3.32
8,III,84,12,1,5,0,0.89,0.92,-0.14
9,III,84,13,1,1,4,0.9,0.25,1.96
10,III,84,14,2,1,4,0.85,0.25,1.72
11,III,84,12,1,1,4,0.89,0.25,1.92
12,III,84,16,0,1,4,0.97,0.25,2.56
13,III,84,15,0,0,5,0.97,0.08,3.25
1,III,110,11,0,1,14,0.96,0.09,3.05
2,III,110,9,3,2,12,0.73,0.17,1.58
3,III,110,11,0,2,13,0.96,0.16,2.74
4,III,110,17,0,0,15,0.97,0.03,3.78
5,III,110,15,0,0,15,0.97,0.03,3.73
6,III,110,8,3,1,14,0.71,0.09,1.87
7,III,110,13,1,5,10,0.9,0.34,1.68
8,III,110,14,1,15,0,0.91,0.97,-0.54
9,III,110,10,0,2,13,0.95,0.16,2.7
10,III,110,16,1,1,14,0.92,0.09,2.7
11,III,110,16,0,0,15,0.97,0.03,3.75
12,III,110,17,0,1,14,0.97,0.09,3.23
13,III,110,16,0,0,15,0.97,0.03,3.75
1,III,123,17,0,0,5,0.97,0.08,3.3
2,III,123,8,1,0,5,0.85,0.08,2.42
3,III,123,17,0,0,5,0.97,0.08,3.3
4,III,123,14,0,0,5,0.97,0.08,3.22
5,III,123,13,1,0,5,0.9,0.08,2.66
6,III,123,15,2,0,5,0.86,0.08,2.47
7,III,123,12,1,1,4,0.89,0.25,1.92
8,III,123,17,0,2,3,0.97,0.42,2.12
9,III,123,14,0,0,5,0.97,0.08,3.22
10,III,123,14,0,0,5,0.97,0.08,3.22
11,III,123,17,0,0,5,0.97,0.08,3.3
12,III,123,14,0,0,5,0.97,0.08,3.22
13,III,123,15,0,0,5,0.97,0.08,3.25
1,III,169,16,0,0,5,0.97,0.08,3.27
2,III,169,10,6,0,5,0.62,0.08,1.68
3,III,169,16,0,0,5,0.97,0.08,3.27
4,III,169,12,3,0,5,0.78,0.08,2.16
5,III,169,17,0,0,5,0.97,0.08,3.3
6,III,169,15,1,0,5,0.91,0.08,2.73
7,III,169,10,6,0,5,0.62,0.08,1.68
8,III,169,12,2,4,1,0.83,0.75,0.29
9,III,169,14,1,0,5,0.91,0.08,2.7
10,III,169,13,2,0,5,0.84,0.08,2.39
11,III,169,12,2,0,5,0.83,0.08,2.35
12,III,169,14,1,0,5,0.91,0.08,2.7
13,III,169,10,2,0,5,0.81,0.08,2.25
1,III,221,16,0,0,5,0.97,0.08,3.27
2,III,221,11,1,0,5,0.88,0.08,2.58
3,III,221,16,0,1,4,0.97,0.25,2.56
4,III,221,17,0,0,5,0.97,0.08,3.3
5,III,221,14,1,0,5,0.91,0.08,2.7
6,III,221,13,3,0,5,0.79,0.08,2.2
7,III,221,12,1,4,1,0.89,0.75,0.57
8,III,221,15,0,4,1,0.97,0.75,1.19
9,III,221,15,0,1,4,0.97,0.25,2.54
10,III,221,14,3,1,4,0.81,0.25,1.54
11,III,221,15,0,1,4,0.97,0.25,2.54
12,III,221,16,1,2,3,0.92,0.42,1.59
13,III,221,13,1,2,3,0.9,0.42,1.49
1,III,246,14,0,0,5,0.97,0.08,3.22
2,III,246,11,1,1,4,0.88,0.25,1.87
3,III,246,14,0,0,5,0.97,0.08,3.22
4,III,246,15,0,0,5,0.97,0.08,3.25
5,III,246,15,0,0,5,0.97,0.08,3.25
6,III,246,13,1,0,5,0.9,0.08,2.66
7,III,246,12,2,0,5,0.83,0.08,2.35
8,III,246,16,0,4,1,0.97,0.75,1.22
9,III,246,11,0,3,2,0.96,0.58,1.52
10,III,246,14,1,1,4,0.91,0.25,1.99
11,III,246,16,0,0,5,0.97,0.08,3.27
12,III,246,14,0,0,5,0.97,0.08,3.22
13,III,246,16,0,0,5,0.97,0.08,3.27
1,III,339,11,4,2,3,0.72,0.42,0.79
2,III,339,4,14,0,5,0.24,0.08,0.67
3,III,339,7,8,0,5,0.47,0.08,1.3
4,III,339,3,11,0,5,0.23,0.08,0.66
5,III,339,11,3,0,5,0.77,0.08,2.11
6,III,339,6,9,1,4,0.41,0.25,0.44
7,III,339,6,12,0,5,0.34,0.08,0.98
8,III,339,8,6,3,2,0.57,0.58,-0.04
9,III,339,11,4,2,3,0.72,0.42,0.79
10,III,339,12,2,0,5,0.83,0.08,2.35
11,III,339,3,11,0,5,0.23,0.08,0.66
12,III,339,8,6,0,5,0.57,0.08,1.55
13,III,339,4,11,0,5,0.28,0.08,0.8
1,III,442,15,0,1,14,0.97,0.09,3.18
2,III,442,10,5,0,15,0.66,0.03,2.26
3,III,442,13,2,1,14,0.84,0.09,2.33
4,III,442,11,1,0,15,0.88,0.03,3.06
5,III,442,16,0,1,14,0.97,0.09,3.21
6,III,442,11,4,3,12,0.72,0.22,1.36
7,III,442,12,3,1,14,0.78,0.09,2.09
8,III,442,13,2,13,2,0.84,0.84,0.0
9,III,442,13,2,0,15,0.84,0.03,2.87
10,III,442,11,1,0,15,0.88,0.03,3.06
11,III,442,12,3,0,15,0.78,0.03,2.64
12,III,442,11,1,1,14,0.88,0.09,2.52
13,III,442,13,4,0,15,0.75,0.03,2.54
1,III,492,17,0,3,2,0.97,0.58,1.7
2,III,492,11,1,0,5,0.88,0.08,2.58
3,III,492,17,0,0,5,0.97,0.08,3.3
4,III,492,15,0,0,5,0.97,0.08,3.25
5,III,492,15,0,0,5,0.97,0.08,3.25
6,III,492,15,2,1,4,0.86,0.25,1.76
7,III,492,11,2,1,4,0.82,0.25,1.6
8,III,492,15,0,5,0,0.97,0.92,0.48
9,III,492,17,0,0,5,0.97,0.08,3.3
10,III,492,14,1,0,5,0.91,0.08,2.7
11,III,492,13,2,0,5,0.84,0.08,2.39
12,III,492,15,0,0,5,0.97,0.08,3.25
13,III,492,14,1,0,5,0.91,0.08,2.7
